product,console,loose_old,loose_new,cib_old,cib_new,loose_market,cib_market,source,status
Buzz! Master Quiz - PSP Game,PSP,4.94,3.99,4.99,8.99,3.32,3.66,pc_search,APPLY
Flow Urban Dance Uprising - PS2 Game,Playstation 2,6.59,5.99,6.99,10.99,4.89,4.99,pc_search,APPLY
Guitar Hero Encore Rocks the 80's - PS2 Game,Playstation 2,10.99,9.99,10.99,14.99,7.47,7.62,pc_search,APPLY
High School Musical 3 Senior Year Dance - PS2 Game,Playstation 2,6.94,5.99,6.99,10.99,4.69,5.13,pc_search,APPLY
Just Dance 2016 - Wii Game,Wii,20.99,19.99,20.99,24.99,14.89,15.07,pc_search,APPLY
Just Dance 4 - Wii U Game,Wii U,12.99,11.99,12.99,16.99,8.99,8.99,pc_search,APPLY
LEGO Star Wars The Force Awakens - Wii U Game,Wii U,7.91,6.99,7.99,11.99,5.66,5.69,pc_search,APPLY
The Sims 2: Pets - Gamecube Game,Gamecube,14.74,13.99,14.99,18.99,10.95,10.95,pc_search,APPLY
688 Attack Sub - Sega Genesis Game,Sega Genesis,11.99,11.99,9.02,20.99,8.881481481481481,15.986666666666666,uplift_1.8x,APPLY
8 Eyes - NES Game,NES,20.99,20.99,17.4,36.99,15.548148148148146,27.98666666666666,uplift_1.8x,APPLY
A Bug's Life - Gameboy Color Game,Gameboy Color,7.99,5.99,6.6,25.99,4.97,19.49,pc_search,APPLY
AAAHH Real Monsters - SNES Game,SNES,18.99,18.99,17.08,33.99,14.066666666666665,25.319999999999997,uplift_1.8x,APPLY
Abadox - NES Game,NES,22.99,22.99,15.14,40.99,17.02962962962963,30.653333333333332,uplift_1.8x,APPLY
ActRaiser - SNES Game,SNES,62.99,62.99,60.23,112.99,46.65925925925926,83.98666666666666,uplift_1.8x,APPLY
ActRaiser 2 - SNES Game,SNES,54.99,54.99,49.99,97.99,40.733333333333334,73.32000000000001,uplift_1.8x,APPLY
Adventure Island 3 - NES Game,NES,108.99,108.99,97.88,195.99,80.73333333333332,145.32,uplift_1.8x,APPLY
Adventures of Dino Riki - NES Game,NES,16.99,16.99,14.5,29.99,12.585185185185184,22.653333333333332,uplift_1.8x,APPLY
Adventures of Dr Franken - SNES Game,SNES,20.99,20.99,17.4,36.99,15.548148148148146,27.98666666666666,uplift_1.8x,APPLY
Aero the Acro-Bat - SNES Game,SNES,16.99,16.99,14.49,29.99,12.585185185185184,22.653333333333332,uplift_1.8x,APPLY
Aero the Acro-Bat 2 - SNES Game,SNES,93.99,93.99,91.9,168.99,69.62222222222222,125.32,uplift_1.8x,APPLY
Aladdin - SNES Game,SNES,21.99,21.99,20.95,38.99,16.288888888888888,29.32,uplift_1.8x,APPLY
All-Star Baseball 2001 - Gameboy Color Game,Gameboy Color,8.99,8.99,6.82,15.99,6.659259259259259,11.986666666666666,uplift_1.8x,APPLY
All-Star Baseball 2004 - Xbox Game,Xbox,6.99,6.99,5.18,11.99,5.177777777777778,9.32,uplift_1.8x,APPLY
Alone In The Dark The New Nightmare - Gameboy Color Game,Gameboy Color,44.99,44.99,36.76,79.99,33.32592592592592,59.986666666666665,uplift_1.8x,APPLY
American Dragon Jake Long Rise of the Huntsclan - GBA Game,Gameboy Advance,10.99,10.99,8.24,18.99,8.14074074074074,14.653333333333334,uplift_1.8x,APPLY
Animaniacs - SNES Game,SNES,16.99,16.99,15.91,29.99,12.585185185185184,22.653333333333332,uplift_1.8x,APPLY
Aquatic Games Starring James Pond - Sega Genesis Game,Sega Genesis,13.99,13.99,11.59,24.99,10.362962962962962,18.653333333333332,uplift_1.8x,APPLY
Army Men Air Combat Elite Missions - Gamecube Game,Gamecube,26.99,26.99,18.6,47.99,19.99259259259259,35.986666666666665,uplift_1.8x,APPLY
Atari Anniversary Edition - Sega Dreamcast Game,Sega Dreamcast,12.99,12.99,9.58,22.99,9.622222222222222,17.32,uplift_1.8x,APPLY
Bad Boys Miami Takedown - Gamecube Game,Gamecube,20.99,20.99,14.71,36.99,15.548148148148146,27.98666666666666,uplift_1.8x,APPLY
Batman Returns - SNES Game,SNES,50.99,50.99,28.99,90.99,37.77037037037037,67.98666666666668,uplift_1.8x,APPLY
Bionic Commando Elite Forces - Gameboy Color Game,Gameboy Color,42.99,42.99,28.99,76.99,31.844444444444445,57.32,uplift_1.8x,APPLY
Bugs Bunny Crazy Castle - NES Game,NES,26.99,26.99,17.39,47.99,19.99259259259259,35.986666666666665,uplift_1.8x,APPLY
Captain America and the Avengers - Sega Genesis Game,Sega Genesis,33.99,33.99,30.96,60.99,25.177777777777777,45.32,uplift_1.8x,APPLY
Chuck Rock II Son of Chuck - Sega Genesis Game,Sega Genesis,22.99,22.99,18.33,40.99,17.02962962962963,30.653333333333332,uplift_1.8x,APPLY
Cliffhanger - Sega CD Game,Sega CD,14.99,14.99,11.22,25.99,11.103703703703703,19.986666666666665,uplift_1.8x,APPLY
Demolition Man - Sega Genesis Game,Sega Genesis,54.99,54.99,36.18,97.99,40.733333333333334,73.32000000000001,uplift_1.8x,APPLY
Ecco the Dolphin - Sega Genesis Game,Sega Genesis,18.99,18.99,14.49,33.99,14.066666666666665,25.319999999999997,uplift_1.8x,APPLY
Hook - SNES Game,SNES,47.99,47.99,44.44,85.99,35.548148148148144,63.98666666666666,uplift_1.8x,APPLY
Iron Soldier 3 - PS1 Game,Playstation,20.99,19.99,16.93,33.99,15.07,25.65,pc_search,APPLY
Muppet Adventure - NES Game,NES,19.99,19.99,12.86,34.99,14.807407407407405,26.65333333333333,uplift_1.8x,APPLY
Pac-Man 2 The New Adventures - SNES Game,SNES,19.99,19.99,12.17,34.99,14.807407407407405,26.65333333333333,uplift_1.8x,APPLY
Super Adventure Island II - SNES Game,SNES,132.52,131.99,55.99,237.99,98.16296296296296,176.69333333333333,uplift_1.8x,APPLY
Super Battleship - SNES Game,SNES,13.99,13.99,10.14,24.99,10.362962962962962,18.653333333333332,uplift_1.8x,APPLY
Super Bomberman - SNES Game,SNES,84.99,84.99,66.47,151.99,62.95555555555555,113.32,uplift_1.8x,APPLY
Tiny Toon Adventures Buster Busts Loose - SNES Game,SNES,19.99,19.99,18.88,34.99,14.807407407407405,26.65333333333333,uplift_1.8x,APPLY
